1;АДМІНІСТРАТИВНЕ УПРАВЛІННЯ;ГД;;
1.10;ОРГАНІЗАЦІЯ ПРОЦЕСІВ УПРАВЛІННЯ;ГД (ЗГДЯУ);СЯ;КВЛУ, підрозділи
1.10.10;(Організація (формування) системи управління);ГД (ЗГДЯУ);СЯ;ВТС, ПЕУ, підрозділи
1.10.20;Управління цілями і розвитком. Планування;ЗГДЯУ;СЯ;КВЛУ, підрозділи
1.10.30;(Встановлення політик, цілей, завдань);ЗГДЯУ;ЗВ, СІТ;КВЛУ, підрозділи
1.10.40;Управління організаційною структурою і функціями;ГД;ЮВ;КВЛУ, підрозділи
1.10.50;Управління інформаційними потоками;ГД;ВЗПК;КВЛУ, підрозділи
1.20;Правове забезпечення ;ГД;;
1.20.10;Антикорупційна діяльність ;ГД;ЮВ;КВЛУ, підрозділи
1.20.20;ОРГАНІЗАЦІЯ ЗОВНІШНІХ ВЗАЄМИН;КВЛУ);СВНіПБ;підрозділи
1.20.30;Відносини з органами державної влади;ГД;ВРГіЗМІ;КВЛУ, підрозділи
1.20.40;Відносини з органами державного регулювання і нагляду ;ГД (ЗГДЯУ);ВМСТД;КВЛУ, підрозділи
1.20.50;Відносини з громадськістю і засобами масової інформації;ГД (КВЛУ);–;КВЛУ, підрозділи
1.20.60;Міжнародні відносини;ГД (КВЛУ);–;КВЛУ, підрозділи
1.20.70;Відносини з постачальниками;ГД (ГІС);ВТС;–
1.30;Відносини з партнерами;ЗГДЯУ, ГІН (КВЛУ);СЯ, ВОНС, СОП;підрозділи
1.30.10;Відносини на ринку електричної енергії;ЗГДЯУ, ГІН (КВЛУ);СЯ, ВОНС, СОП;підрозділи
1.30.20;ФУНКЦІОНУВАННЯ ІНТЕГРОВАНОЇ СИСТЕМИ УПРАВЛІННЯ;ЗГДЯУ (КВЛУ);–;підрозділи
1.30.30;Забезпечення функціонування інтегрованої системи управління;ЗГДЯУ;СЯ, ВОНС, СОП;КВЛУ, підрозділи
1.30.20;Управління невідповідностями. Коригувальні дії;ЗГДЯУ (КВЛУ);–;підрозділи
1.30.30;Оцінка інтегрованої системи управління ;ЗГДЯУ;СЯ, ВОНС, СОП;КВЛУ, підрозділи
1.40;УПРАВЛІННЯ ДОКУМЕНТАЦІЄЮ;ЗГДЯУ;ВТС, ЗВ;КВЛУ, підрозділи
1.40.10;Управління нормативною, виробничою документацією та записами;ГІС (ЗГДЯУ);ВТС, ЗВ;КВЛУ, підрозділи
1.40.20;Загальне діловодство;ЗГДЯУ;ЗВ;КВЛУ, підрозділи
1.40.30;Управління проектною, конструкторською документацією;ГІС;КТВ;КВЛУ, підрозділи
2;УПРАВЛІННЯ ВИРОБНИЧИМИ ПРОЦЕСАМИ;ГІС;;
2.10;ЕКСПЛУАТАЦІЯ ТЕХНОЛОГІЧНОГО КОМПЛЕКСУ;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.05;Планування і облік виробництва;ГІС ;ВТС;КВЛУ, підрозділи
2.10.10;Організація оперативної експлуатації;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.15;Організація робіт на обладнанні та системах (виведення з роботи, введення в роботу);ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.20;Управління технологічними процесами експлуатації;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.25;Технічне обслуговування;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.40;Випробування, опробування, перевірки обладнання та систем;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.50;Управління порушеннями режимів нормальної експлуатації;ГІС (ЗГІЕ);СГТ;підрозділи-власники
2.10.55;Розслідування та облік експлуатаційних та малозначних подій в роботі АЕС (змінено зм. № ;ГІС, ГІН;СГТ, СВНіПБ;підрозділи-власники
2.10.70;Організація відносин при роботі в енергомережах;ГІС;ВТС;підрозділи-власники
2.10.80;Експлуатація будівель і споруд;ГІС (ЗГІТІ);ВЕБтаС;підрозділи-власники
2.10.90;Виробництво лікарського засобу (кисню медичного газоподібного) (долучено зм. №;ГІС (ЗГІЗО);ЦЗС;ХЦ
2.20;ТЕХНІЧНЕ ОБСЛУГОВУВАННЯ ТА РЕМОНТ;ГІС (ЗГІР);ВППР;підрозділи-власники
2.20.10;Організація і координація ТОіР;ГІС (ЗГІР);ВППР;підрозділи-власники
2.20.15;Планування ТОіР;ГІС (ЗГІР);ВППР;підрозділи-власники
2.20.20;Управління технологічними процесами ремонту, модернізації систем і елементів;ГІС (ЗГІР);ВППР;підрозділи-власники
2.20.25;Технічне обслуговування;ГІС (ЗГІР);ВППР;підрозділи-власники
2.20.30;Зварювання, наплавлення, термообробка;ГІС (ЗГІР);ЕРП;підрозділи-власники
2.20.35;Контроль металу та зварних з'єднань;ГІС;ВКМ;підрозділи-власники
2.20.40;Технічний контроль, випробування та перевірки;ЗГДЯУ;ВТК;підрозділи-власники
2.20.50;Виготовлення елементів для потреб ТОіР, модернізації;ГІС (ЗГІР);ЕРП;підрозділи-власники
2.20.60;Застосування оснащення, пристосувань, пристроїв;ГІС (ЗГІР);ЕРП;підрозділи-власники
2.20.70;Пусконалагоджувальні роботи після ремонту, модернізації систем і елементів;ГІС (ЗГІР);ВППР;підрозділи-власники
2.30;ПОВОДЖЕННЯ З ЯДЕРНИМ ПАЛИВОМ;ГІС (ЗГІЯРБ);ВЯБ;РЦ, ЕРП, ЦРБ
2.30.10;Управління активною зоною реактора;ГІС (ЗГІЯРБ);ВЯБ;РЦ, ЕРП, ЦРБ
2.30.15;Контроль герметичності оболонок ТВЕЛ;ГІС (ЗГІЯРБ);ЦРБ;РЦ, ЕРП, ВЯБ
2.30.20;Організація робіт зі свіжим і відпрацьованим ЯП;ГІС (ЗГІЯРБ);ВЯБ;РЦ, ЕРП, ЦРБ
2.30.21;Поводження зі свіжим ЯП;ГІС (ЗГІЯРБ);ВЯБ;РЦ, ЕРП, ЦРБ
2.30.22;Поводження з відпрацьованим ЯП;ГІС (ЗГІЯРБ);ВЯБ;РЦ, ЕРП, ЦРБ
2.30.30;Облік і контроль ядерних матеріалів;ГІС (ЗГІЯРБ);ВЯБ;ЦТАВ, ЦРБ, СГМ, ВКМ
2.30.40;Зберігання відпрацьованого ЯП в СВЯП;ГІС (ЗГІЯРБ);ВЯБ;ЕРП
2.40;Поводження З РАДІОАКТИВНИМИ ВІДХОДАМИ;ГІС (ЗГІЗО, ЗГІЕ);ЦДПРВ, ХЦ;підрозділи
2.40.10;Збір, пакування, переробка, транспортування радіоактивних відходів;ГІС (ЗГІЗО, ЗГІЕ;ЦДПРВ, ХЦ);підрозділи
2.40.30;Облік і контроль радіоактивних відходів;ГІС (ЗГІЗО, ЗГІЕ);ЦДПРВ, ХЦ);підрозділи
2.40.40;Зберігання радіоактивних відходів у тимчасових сховищах (включаючи експлуатацію сховищ);ГІС (ЗГІЗО, ЗГІЕ;ЦДПРВ, ХЦ;підрозділи
2.40.50;Передача радіоактивних відходів на довгострокове зберігання або захоронення;ГІС (ЗГІЗО);ЦДПРВ;підрозділи
2.50;Інженерна, НАУКОВА ТА технічна підтримка;ГІС (ЗГІТІ);;
2.50.05;Ведення науково-дослідної, дослідно-конструкторської, дослідно-технологічної, раціоналізаторської роботи;ГІС (ЗГІТІ);;КВЛУ, підрозділи
2.50.10;Аналіз і використання досвіду експлуатації;ГІС (ЗГІЕ);СГТ;КВЛУ, підрозділи
2.50.20;Модернізація, впровадження нової техніки і технологій;ГІС (ЗГІТІ, ЗГДКБ);ВМіР;підрозділи-власники
2.50.30;Управління ресурсом і надійністю, продовження строку експлуатації;ГІС (ЗГІТІ);СНРіПЕ;підрозділи-власники
2.50.30.1;Управління старінням ;ГІС (ЗГІТІ);СНРіПЕ;підрозділи-власники
2.50.30.2;Кваліфікація обладнання;ГІС (ЗГІЯРБ);САБ;підрозділи-власники
2.50.35;Металознавство;ГІС;ВКМ;підрозділи-власники
2.50.40;Управління хімічними технологіями;ГІС (ЗГІЕ);ХЦ;підрозділи
2.50.45;Випробування в рамках контролю якості лікарського засобу (кисню медичного газоподібного) (долучено зм. №;ГІС (ЗГІЗО);ХЦ;ЦЗС
2.50.50;Аналіз і оцінка безпеки;ГІС (ЗГІЯРБ);САБ;підрозділи
2.50.60;Нормативне забезпечення та стандартизація;ГІС;ВТС;КВЛУ, підрозділи
2.50.70;Метрологічне забезпечення;ГІС;СГМ;КВЛУ, підрозділи
2.50.80;Управління автоматизованими інформаційними системами ;ГІС (ЗГІЕОтаСКУ)) ЗГДЯУ;ЦТАВ, СІТ;КВЛУ, підрозділи
2.50.85;Управління конфігурацією АЕС ;ГІС (КВЛУ);ВТС;підрозділи
2.50.90;Система енергетичного менеджменту;ГІС, ЗГДЯУ;ВТС, СЯ;КВЛУ, підрозділи
2.60;НОВЕ БУДІВНИЦТВО;ЗГДКБ (ЗГІНБ);УКБ;ВСНБ
2.60.10;Вибір майданчика;ЗГДКБ (ЗГІНБ);УКБ;ВСНБ
2.60.20;Проектування;ЗГДКБ (ЗГІНБ);УКБ;ВСНБ
2.60.30;Будівництво;ЗГДКБ (ЗГІНБ);УКБ;ВСНБ
2.60.40;Введення в експлуатацію ;ГІС (ЗГІНБ);УКБ;ВСНБ
2.60.50;Реконструкція основних фондів;ЗГДКБ;УКБ, ВМіР;підрозділи-власники
2.65;ЗНЯТТЯ З ЕКСПЛУАТАЦІЇ ;ГІС (ЗГІТІ);СНРіПЕ;підрозділи-власники
2.70;ЗАБЕЗПЕЧЕННЯ ТЕХНОЛОГІЧНИХ ПОТРЕБ;ГІС (ЗГІЗО);ГТЦ, КГ;підрозділи-власники
2.70.10;Забезпечення внутрішніх і зовнішніх споживачів водою та теплом;ГІС (ЗГІЗО);ГТЦ, КГ;підрозділи-власники
2.70.20;Забезпечення очищення промислових стоків;ГІС (ЗГІЗО);ГТЦ, КГ;підрозділи-власники
2.80;ЗАБЕЗПЕЧЕННЯ ЗАСОБАМИ ЗВ'ЯЗКУ;ГІС (ЗГІЕОта СКУ);ЕЦ;підрозділи
3;ЗАБЕЗПЕЧЕННЯ БЕЗПЕКИ;ГІС;;
3.10;ЗАБЕЗПЕЧЕННЯ ЯДЕРНОЇ БЕЗПЕКИ ;ГІС (ЗГІЯРБ);ВЯБ;підрозділи
3.20;ЗАБЕЗПЕЧЕННЯ РАДІАЦІЙНОЇ БЕЗПЕКИ;ГІС (ЗГІЯРБ);ЦРБ;підрозділи
3.20.10;Радіаційний захист і контроль;ГІС (ЗГІЯРБ);ЦРБ;підрозділи
3.20.20;Дозиметричний контроль;ГІС (ЗГІЯРБ);ЦРБ;підрозділи
3.20.30;Дезактивація ;ГІС (ЗГІЗО);ЦДПРВ;підрозділи
3.20.50;Поводження з джерелами іонізуючого випромінювання;ГІС (ЗГІЯРБ);ЦРБ;підрозділи
3.30;ОХОРОНА ПРАЦІ;ГІН;СОП;КВЛУ, підрозділи
3.30.10;Система управління охороною здоров’я та безпекою праці;ГІН;СОП;КВЛУ, підрозділи
3.30.15;Розслідування та облік нещасних випадків, відповідальність за порушення ;ГІН;СОП;КВЛУ, підрозділи
3.30.20;Безпека при виконанні робіт;ГІН) (КВЛУ);СОП;КВЛУ, підрозділи
3.30.30;Навчання і перевірка знань з охорони праці;ГІН;СОП;КВЛУ, підрозділи
3.40;ЗАБЕЗПЕЧЕННЯ ТЕХНІЧНОЇ БЕЗПЕКИ;ГІН (КВЛУ);СВНіПБ;підрозділи
3.50;ЗАБЕЗПЕЧЕННЯ ПОЖЕЖНОЇ БЕЗПЕКИ;ГІН (КВЛУ);СВНіПБ;підрозділи
3.60;ЗАБЕЗПЕЧЕННЯ ФІЗИЧНОГО ЗАХИСТУ;ЗГДФЗіР;СФЗ;КВЛУ, підрозділи
3.65;ЗАБЕЗПЕЧЕННЯ ІНФОРМАЦІЙНОЇ БЕЗПЕКИ;ГД (ЗГДФЗіР);РСВ,;КВЛУ, підрозділи
3.70;ОХОРОНА ДОВКІЛЛЯ;ГІН;ВОНС;КВЛУ, підрозділи
3.80;УПРАВЛІННЯ НАДЗВИЧАЙНИМИ СИТУАЦІЯМИ (Аварійна готовність та реагування);ГД;УПАГР;КВЛУ, підрозділи
3.80.10;Готовність до реагування у випадку виникнення НС;ГД;УПАГР;КВЛУ, підрозділи
3.80.20;Управління запроектними аваріями;гіс (ЗГІЕ);СГТ;підрозділи-власники
3.80.40;Управління аварійними центрами ;ГД;УПАГР;–
3.80.50;Військово-мобілізаційна робота ;ГД (ЗГФЗіР) (змінено зм.№;ВМР;підрозділи
3.90;ВІДОМЧИЙ НАГЛЯД;ГІН;СВНіПБ;КВЛУ, підрозділи
4;УПРАВЛІННЯ ЛЮДСЬКИМИ РЕСУРСАМИ;ГД (ЗГДП);;
4.10;УПРАВЛІННЯ КАДРАМИ;ЗГДП;ВК;КВЛУ, підрозділи
4.20;УПРАВЛІННЯ КВАЛІФІКАЦІЄЮ ПЕРСОНАЛУ;ЗГДП;ВК, НТЦ;КВЛУ, підрозділи
4.20.10;Кваліфікаційні вимоги;ЗГДП;ВК;КВЛУ, підрозділи
4.20.20;Підготовка персоналу;ЗГДП;НТЦ;КВЛУ, підрозділи
4.20.30;Ліцензування персоналу;ЗГДП;НТЦ;КВЛУ, підрозділи
4.20.40;Забезпечення технічними засобами навчання;ЗГДП;НТЦ;КВЛУ, підрозділи
4.20.45;Забезпечення навчально-методичними матеріалами;ЗГДП;НТЦ;КВЛУ, підрозділи
4.20.50;Тренування та інструктажі;ЗГДП;НТЦ;КВЛУ, підрозділи
4.20.60;Психологічний супровід діяльності персоналу;ЗГДП;ВРП;КВЛУ, підрозділи
4.20.70;Управління знаннями;ЗГДП;НТЦ;КВЛУ, підрозділи
4.20.80;Формування кадрового резерву;ЗГДП;ВК;КВЛУ, підрозділи
4.30;ОХОРОНА ЗДОРОВ'Я ТА МЕДИЧНИЙ КОНТРОЛЬ ;ГІН;СОП;підрозділи
4.40;СОЦІАЛЬНИЙ ЗАХИСТ І МОТИВАЦІЯ ПЕРСОНАЛУ;ЗГДП;ВРП;КВЛУ, підрозділи
4.50;ФОРМУВАННЯ КУЛЬТУРИ БЕЗПЕКИ;ЗГДП (КВЛУ);ВРП;КВЛУ, підрозділи
4.60;ФОРМУВАННЯ КУЛЬТУРИ ЗАХИЩЕНОСТІ;ЗГДФЗіР (КВЛУ);СФЗ;КВЛУ, підрозділи
5;УПРАВЛІННЯ МАТЕРІАЛЬНИМИ РЕСУРСАМИ;ГД;;
5.10;УПРАВЛІННЯ ПОСТАВКАМИ (ЗАКУПІВЛЯМИ) ПРОДУКЦІЇ;ЗГДЗВ;УВТК;підрозділи
5.10.10;Встановлення вимог до продукції;ЗГДЗВ (КВЛУ);ВСКТ;підрозділи
5.10.20;Планування постачання продукції;ЗГДЗВ (КВЛУ);ВСКТ;підрозділи
5.10.30;Вибір постачальника продукції;ЗГДЗВ (КВЛУ);ВСКТ;підрозділи
5.10.35;Укладання договору (контракту);ЗГДЕФ (КВЛУ);ДВ;підрозділи
5.10.40;Приймання і вхідний контроль продукції;ЗГДЗВ, ЗГДЯУ;УВТК, ВТК;підрозділи
5.10.50;Оцінка постачальника продукції;ЗГДЯУ;СЯ;підрозділи
5.10.60;Підтвердження відповідності продукції;ЗГДЯУ (КВЛУ);СЯ;підрозділи
5.10.70;Поставки (закупівлі) ядерного палива (змінено, зм. №;ЗГДЗВ, ЗГІЯРБ;ВЯБ;УВТК
5.20;УПРАВЛІННЯ ЗАПАСАМИ ОБЛАДНАННЯ І МАТЕРІАЛІВ;ЗГДЗВ;;
5.20.10;Зберігання обладнання та матеріалів;ЗГДЗВ;–;КВЛУ, підрозділи
5.20.20;Управління централізованим та незнижувальним запасами продукції;ЗГДЗВ;–;КВЛУ, підрозділи
5.30;НОРМУВАННЯ І СПОЖИВАННЯ МАТЕРІАЛЬНИХ РЕСУРСІВ;ГІС, ЗГДЗВ;;
5.30.10;Нормування матеріальних ресурсів;ЗГДЗВ;–;підрозділи
5.30.20;Споживання і облік матеріальних ресурсів ;ЗГЕФ (КВЛУ);Бухгал-терія;підрозділи
5.30.25;Використання вторинної сировини та матеріалів;ЗГДЗВ;–;підрозділи
5.30.30;Енергозбереження;ЗГДЗВ (КВЛУ);–;підрозділи
5.40;ТРАНСПОРТНЕ ЗАБЕЗПЕЧЕННЯ ТА УПРАВЛІННЯ ІНФРАСТРУКТУРОЮ;ЗГДЗВ, ЗГДІ;–;ТрЦ, ЦГЗ
5.40.10;Автомобільні перевезення;ЗГДЗВ;ТрЦ;–
5.40.20;Перевезення залізницею;ЗГДЗВ;ТрЦ;–
5.40.25;Піднімально-транспортні операції;ЗГДЗВ, ГІС);ТрЦ,;підрозділи-власники
5.40.30;Управління інфраструктурою;ЗГДІ;ЦГЗ, ВСО;підрозділи-власники
5.50;ГОСПОДАРСЬКЕ ЗАБЕЗПЕЧЕННЯ;ЗГДІ;ЦГЗ;КВЛУ, підрозділи
6;УПРАВЛІННЯ ЕКОНОМІКОЮ І ФІНАНСАМИ;ГД;;
6.10;ПЛАНОВО-ЕКОНОМІЧНА ДІЯЛЬНІСТЬ;ЗГДЕФ;ПЕУ;КВЛУ, підрозділи
6.20;ДОГОВІРНА ДІЯЛЬНІСТЬ;ЗГДЕФ;ДВ;КВЛУ, підрозділи
6.30;НОРМУВАННЯ ТА ОПЛАТА ПРАЦІ;ЗГДП;ВОНта;КВЛУ, підрозділи
6.30.10;Нормування праці;ЗГДП;ВОНта;КВЛУ, підрозділи
6.30.30;Оплата праці і виплати персоналу;ЗГДП;ВОНта;КВЛУ, підрозділи
6.40;БУХГАЛТЕРСЬКИЙ ОБЛІК І ЗВІТНІСТЬ;ГД (ЗГДЕФ));Бухгал-терія;підрозділи
6.45;ОПОДАТКОВУВАННЯ;ГД (ЗГДЕФ);Бухгал-терія;підрозділи
6.50;УПРАВЛІННЯ ФІНАНСАМИ;ГД (ЗГДЕФ);ПЕУ;КВЛУ, підрозділи
6.55;УПРАВЛІННЯ ІНВЕСТИЦІЯМИ;ЗГДЕФ;ПЕУ;КВЛУ, підрозділи
6.60;УПРАВЛІННЯ МАЙНОМ І ФОРМАМИ ВЛАСНОСТІ;ЗГДЕФ;ВУМ;КВЛУ, підрозділи
6.90;КОНТРОЛЬНО-РЕВІЗІЙНА ДІЯЛЬНІСТЬ;ГД (ГІН);КРВ;КВЛУ, підрозділи